mean dn,std dev dn,mean n,std dev n,mean dp,std dev dp,mean p,std dev p,mean e,std dev e,dn,n,dndegen,ndegen,dp,p,e,eb,t,mue,nb,yp,k,cost,k,cost,phi
1.971146387705701e-08,0.0,1.8593838854335264e-07,2.0778173403483567e-09,8.17027e-09,1.26714e-09,1.84425e-07,5.76243e-08,7.553705832194576e-09,5.813262259397416e-11,2.3689163123707577e-08,1.5455756258531578e-07,5.341924945809161e-05,0.0020745216358140812,1.1630811523316704e-08,7.89027216218901e-08,6.7148564355281756e-09,0.07005183288260786,0.18686095983479517,-0.7354508555588319,7.486773331418498e-05,0.3433524885063014,0.08193587485207604,-0.8760869558974118,0.16734677649494983,-0.5647046114100478,4.455348986546433
1.0327275896378523e-06,0.0,3.542298177405569e-05,4.0454740392795044e-07,9.95213e-16,2.3608e-16,7.03955e-06,2.1065e-06,1.7546854972790868e-08,1.5654747393843604e-10,1.3063757707989762e-06,3.031804430909056e-05,4.141257166264627e-05,0.0012197734260977929,2.3107242378599565e-08,2.994745447776685e-06,1.9612257738800632e-08,0.011716905827043007,0.1530749425166824,0.15663306645651293,0.011380826799891088,0.10071097918904204,0.08193587485207604,-0.8760869558974118,0.16734677649494983,-0.5647046114100478,4.455348986546433
6.152718454110545e-11,0.0,2.1131723448370764e-05,2.1662250542074982e-07,1.71046e-21,5.27795e-22,9.61894e-07,1.86542e-07,7.605260898918345e-09,7.114236312135357e-11,1.1522201698074954e-10,2.0606193701619644e-05,5.944875872112439e-06,7.28648658849603e-05,2.5199830590922732e-12,4.4859961013604894e-07,9.452116379008856e-09,0.0196708909423349,0.04678344875942758,0.11353073301855619,0.00903563961464658,0.017194557283368272,0.08193587485207604,-0.8760869558974118,0.16734677649494983,-0.5647046114100478,4.455348986546433
3.964263080052142e-11,0.0,1.5630571036959357e-07,1.2881084044400494e-09,3.0736e-11,3.25179e-12,7.91217e-08,2.76736e-08,1.8119700876955332e-08,1.5715040881991825e-10,3.6112009170457614e-11,1.2884599221213671e-07,3.527387670795658e-07,0.0020145526371420025,9.663664213167359e-12,6.553219025680915e-08,1.5673621404606027e-08,0.07005183288260786,0.18686095983479517,-0.7354508555588319,7.486773331418498e-05,0.3433524885063014,0.07414333055839945,-0.6685384330521771,0.01108098620140191,-0.8942928683783604,2.5698466168404597
1.3979259095864462e-11,0.0,2.899296927329669e-05,3.1146244067298564e-07,5.64343e-16,9.31481e-17,3.32516e-6,1.05265e-6,4.0162469791119846e-08,2.5769043255497637e-10,1.0952777334429423e-11,2.486593185071001e-05,2.9923068755011446e-07,0.0011775556567700622,2.2876338710368276e-15,2.4532473726836246e-06,5.069226582010654e-08,0.011716905827043007,0.1530749425166824,0.15663306645651293,0.011380826799891088,0.10071097918904204,0.07414333055839945,-0.6685384330521771,0.01108098620140191,-0.8942928683783604,2.5698466168404597
4.1192672127694056e-20,0.0,1.759514183235609e-05,1.6947853769821486e-07,2.5575e-22,5.02537e-23,8.40544e-07,2.42224e-07,1.7247551707194037e-08,1.5453563126148643e-10,1.812275105711087e-20,1.696450464065098e-05,1.364940545910986e-07,6.660445189515971e-05,1.5184790071993425e-19,3.677677408438445e-07,2.341639974047288e-08,0.0196708909423349,0.04678344875942758,0.11353073301855619,0.00903563961464658,0.017194557283368272,0.07414333055839945,-0.6685384330521771,0.01108098620140191,-0.8942928683783604,2.5698466168404597
3.152572763241428e-12,0.0,3.5527663001779774e-07,3.045968737540439e-09,1.03193e-12,1.67101e-13,3.78619e-07,1.18844e-07,4.307179767978757e-10,2.5551586070268975e-12,3.0195706377982176e-07,2.2696498225941425e-07,0.002343562129327287,1.1087222973791627e-12,1.504216803949858e-07,4.065847331600601e-08,0,0.07005183288260786,0.18686095983479517,-0.7354508555588319,7.486773331418498e-05,0.3433524885063014,0.11497484935686397,-0.38551850345901073,0.008027752635117458,0.11512609414907438,4.059294660465074
4.101904539999648e-12,0.0,6.745123730240945e-05,5.085653411774594e-07,4.49726e-23,1.08286e-23,9.18778e-06,2.1598e-06,6.443609561200249e-08,4.772281013775903e-10,2.7924768398939306e-12,5.985885933360634e-05,1.967384515569004e-07,0.0014108790705397267,6.282819135774286e-15,5.891264266545434e-06,1.9132981837882136e-07,0.011716905827043007,0.1530749425166824,0.15663306645651293,0.011380826799891088,0.10071097918904204,0.11497484935686397,-0.38551850345901073,0.008027752635117458,0.11512609414907438,4.059294660465074
7.18940099397278e-22,0.0,4.139445723881896e-05,4.2257034724535166e-07,9.61973e-34,1.87136e-34,2.47917e-06,4.34136e-07,3.5125684711834285e-08,2.6407373187750376e-10,1.9884127630597807e-22,4.1270889844021245e-05,1.1010447456761882e-07,0.00010310898573090336,3.2694016068232094e-22,8.810044843282388e-07,8.550899548351307e-08,0.0196708909423349,0.04678344875942758,0.11353073301855619,0.00903563961464658,0.017194557283368272,0.11497484935686397,-0.38551850345901073,0.008027752635117458,0.11512609414907438,4.059294660465074
6.027131773391314e-08,0.0,1.4792283605081222e-07,1.5860660152456458e-09,1.0102769220838389e-07,4.979987893537964e-08,2.8224923598174326e-05,8.574383444616156e-05,1.065677709979246e-09,8.453656645058114e-12,5.61535751863559e-08,1.3883984663035217e-07,3.999686504387196e-05,0.0015976241182174226,2.8417486147615163e-08,7.125297511640472e-08,1.545131658835907e-09,0.03172364438832448,0.14879634836065486,-0.6702733977368993,1.8491551176664676e-05,0.3631864127021954,0.16065325297141736,-0.8837798786580828,0.13134109219061657,0.7498379607462518,0.83786223536206
